ligand_name,compound_group,smiles,experimental_pKD,experimental_Kd_nM,num_complex_structures,complex_names,extracted_complex_ref_pdbs,extracted_ligand_ref_sdfs
x7031a,x7031a,CSc1ncnc(N2CC[C@H](OC(F)F)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.9258,118.631,1,A71EV2A-x7031a,nipecotamide_fep_set/structures/x7031a/A71EV2A-x7031a/A71EV2A-x7031a_complex_ref.pdb,nipecotamide_fep_set/structures/x7031a/A71EV2A-x7031a/A71EV2A-x7031a_ligand_ref.sdf
x7093a,x7093a,CSc1ncnc(N2CC[C@@H](SC)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.9071,123.851,1,A71EV2A-x7093a,nipecotamide_fep_set/structures/x7093a/A71EV2A-x7093a/A71EV2A-x7093a_complex_ref.pdb,nipecotamide_fep_set/structures/x7093a/A71EV2A-x7093a/A71EV2A-x7093a_ligand_ref.sdf
x7309a,x7309a,CSc1ncnc(N2CCC[C@@H]2C(=O)N(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.6677,214.931,1,A71EV2A-x7309a,nipecotamide_fep_set/structures/x7309a/A71EV2A-x7309a/A71EV2A-x7309a_complex_ref.pdb,nipecotamide_fep_set/structures/x7309a/A71EV2A-x7309a/A71EV2A-x7309a_ligand_ref.sdf
x7533a,x7533a_x7533b,CSc1ncnc(N2CCC[C@@H]2C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.6166,241.769,2,A71EV2A-x7533a;A71EV2A-x7533b,nipecotamide_fep_set/structures/x7533a_x7533b/A71EV2A-x7533a/A71EV2A-x7533a_complex_ref.pdb;nipecotamide_fep_set/structures/x7533a_x7533b/A71EV2A-x7533b/A71EV2A-x7533b_complex_ref.pdb,nipecotamide_fep_set/structures/x7533a_x7533b/A71EV2A-x7533a/A71EV2A-x7533a_ligand_ref.sdf;nipecotamide_fep_set/structures/x7533a_x7533b/A71EV2A-x7533b/A71EV2A-x7533b_ligand_ref.sdf
x7317a,x7317a_x7317b_x7372a,CSc1ncnc(N2C[C@H]3C[C@H]3C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.5585,276.376,3,A71EV2A-x7317a;A71EV2A-x7317b;A71EV2A-x7372a,nipecotamide_fep_set/structures/x7317a_x7317b_x7372a/A71EV2A-x7317a/A71EV2A-x7317a_complex_ref.pdb;nipecotamide_fep_set/structures/x7317a_x7317b_x7372a/A71EV2A-x7317b/A71EV2A-x7317b_complex_ref.pdb;nipecotamide_fep_set/structures/x7317a_x7317b_x7372a/A71EV2A-x7372a/A71EV2A-x7372a_complex_ref.pdb,nipecotamide_fep_set/structures/x7317a_x7317b_x7372a/A71EV2A-x7317a/A71EV2A-x7317a_ligand_ref.sdf;nipecotamide_fep_set/structures/x7317a_x7317b_x7372a/A71EV2A-x7317b/A71EV2A-x7317b_ligand_ref.sdf;nipecotamide_fep_set/structures/x7317a_x7317b_x7372a/A71EV2A-x7372a/A71EV2A-x7372a_ligand_ref.sdf
x7024a,x7024a,CSc1ncnc(N2CCC3(CCCC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.4622,344.985,1,A71EV2A-x7024a,nipecotamide_fep_set/structures/x7024a/A71EV2A-x7024a/A71EV2A-x7024a_complex_ref.pdb,nipecotamide_fep_set/structures/x7024a/A71EV2A-x7024a/A71EV2A-x7024a_ligand_ref.sdf
x7101a,x7101a,CSc1ncnc(N2CCC3(CCCCC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.3886,408.696,1,A71EV2A-x7101a,nipecotamide_fep_set/structures/x7101a/A71EV2A-x7101a/A71EV2A-x7101a_complex_ref.pdb,nipecotamide_fep_set/structures/x7101a/A71EV2A-x7101a/A71EV2A-x7101a_ligand_ref.sdf
x7026a,x7026a_x7026b,CSc1ncnc(N2CC[C@H](C)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.2935,508.745,2,A71EV2A-x7026a;A71EV2A-x7026b,nipecotamide_fep_set/structures/x7026a_x7026b/A71EV2A-x7026a/A71EV2A-x7026a_complex_ref.pdb;nipecotamide_fep_set/structures/x7026a_x7026b/A71EV2A-x7026b/A71EV2A-x7026b_complex_ref.pdb,nipecotamide_fep_set/structures/x7026a_x7026b/A71EV2A-x7026a/A71EV2A-x7026a_ligand_ref.sdf;nipecotamide_fep_set/structures/x7026a_x7026b/A71EV2A-x7026b/A71EV2A-x7026b_ligand_ref.sdf
x6738a,x6738a,CCC1(CC)CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)C1,6.266,542.001,1,A71EV2A-x6738a,nipecotamide_fep_set/structures/x6738a/A71EV2A-x6738a/A71EV2A-x6738a_complex_ref.pdb,nipecotamide_fep_set/structures/x6738a/A71EV2A-x6738a/A71EV2A-x6738a_ligand_ref.sdf
x7127a,x7127a,CSc1ncnc(N2CCC[C@@H]2Cn2cccn2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.1893,646.696,1,A71EV2A-x7127a,nipecotamide_fep_set/structures/x7127a/A71EV2A-x7127a/A71EV2A-x7127a_complex_ref.pdb,nipecotamide_fep_set/structures/x7127a/A71EV2A-x7127a/A71EV2A-x7127a_ligand_ref.sdf
x7056a,x7056a,CSc1ncnc(N2CCC3(CCC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.1312,739.265,1,A71EV2A-x7056a,nipecotamide_fep_set/structures/x7056a/A71EV2A-x7056a/A71EV2A-x7056a_complex_ref.pdb,nipecotamide_fep_set/structures/x7056a/A71EV2A-x7056a/A71EV2A-x7056a_ligand_ref.sdf
x7190a,x7190a,CSc1ncnc(N2CC[C@H](C(=O)N3CCC(C)CC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.0817,828.514,1,A71EV2A-x7190a,nipecotamide_fep_set/structures/x7190a/A71EV2A-x7190a/A71EV2A-x7190a_complex_ref.pdb,nipecotamide_fep_set/structures/x7190a/A71EV2A-x7190a/A71EV2A-x7190a_ligand_ref.sdf
x7025a,x7025a,CSc1ncnc(N2CC[C@@H](OC(F)F)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,6.0481,895.159,1,A71EV2A-x7025a,nipecotamide_fep_set/structures/x7025a/A71EV2A-x7025a/A71EV2A-x7025a_complex_ref.pdb,nipecotamide_fep_set/structures/x7025a/A71EV2A-x7025a/A71EV2A-x7025a_ligand_ref.sdf
x7427a,x7427a,CSc1ncnc(N2CC[C@H](C(=O)N(C)C)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.9744,1060.72,1,A71EV2A-x7427a,nipecotamide_fep_set/structures/x7427a/A71EV2A-x7427a/A71EV2A-x7427a_complex_ref.pdb,nipecotamide_fep_set/structures/x7427a/A71EV2A-x7427a/A71EV2A-x7427a_ligand_ref.sdf
x7257a,x7257a,CSc1ncnc(N2CCC[C@H]2CC(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.8238,1500.38,1,A71EV2A-x7257a,nipecotamide_fep_set/structures/x7257a/A71EV2A-x7257a/A71EV2A-x7257a_complex_ref.pdb,nipecotamide_fep_set/structures/x7257a/A71EV2A-x7257a/A71EV2A-x7257a_ligand_ref.sdf
x7510a,x7510a_x7510b,CC[C@@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.3595,4370.19,2,A71EV2A-x7510a;A71EV2A-x7510b,nipecotamide_fep_set/structures/x7510a_x7510b/A71EV2A-x7510a/A71EV2A-x7510a_complex_ref.pdb;nipecotamide_fep_set/structures/x7510a_x7510b/A71EV2A-x7510b/A71EV2A-x7510b_complex_ref.pdb,nipecotamide_fep_set/structures/x7510a_x7510b/A71EV2A-x7510a/A71EV2A-x7510a_ligand_ref.sdf;nipecotamide_fep_set/structures/x7510a_x7510b/A71EV2A-x7510b/A71EV2A-x7510b_ligand_ref.sdf
x7491a,x7491a_x7491b,CSc1ncnc(N2CCC[C@H]2C(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.3314,4662.3,2,A71EV2A-x7491a;A71EV2A-x7491b,nipecotamide_fep_set/structures/x7491a_x7491b/A71EV2A-x7491a/A71EV2A-x7491a_complex_ref.pdb;nipecotamide_fep_set/structures/x7491a_x7491b/A71EV2A-x7491b/A71EV2A-x7491b_complex_ref.pdb,nipecotamide_fep_set/structures/x7491a_x7491b/A71EV2A-x7491a/A71EV2A-x7491a_ligand_ref.sdf;nipecotamide_fep_set/structures/x7491a_x7491b/A71EV2A-x7491b/A71EV2A-x7491b_ligand_ref.sdf
x7475a,x7475a_x7475b,CSc1ncnc(N2CCC[C@H]2C2CC2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.262,5470.16,2,A71EV2A-x7475a;A71EV2A-x7475b,nipecotamide_fep_set/structures/x7475a_x7475b/A71EV2A-x7475a/A71EV2A-x7475a_complex_ref.pdb;nipecotamide_fep_set/structures/x7475a_x7475b/A71EV2A-x7475b/A71EV2A-x7475b_complex_ref.pdb,nipecotamide_fep_set/structures/x7475a_x7475b/A71EV2A-x7475a/A71EV2A-x7475a_ligand_ref.sdf;nipecotamide_fep_set/structures/x7475a_x7475b/A71EV2A-x7475b/A71EV2A-x7475b_ligand_ref.sdf
x7501a,x7501a_x7501b,CSc1ncnc(N2CCC[C@H]2C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.2445,5695.08,2,A71EV2A-x7501a;A71EV2A-x7501b,nipecotamide_fep_set/structures/x7501a_x7501b/A71EV2A-x7501a/A71EV2A-x7501a_complex_ref.pdb;nipecotamide_fep_set/structures/x7501a_x7501b/A71EV2A-x7501b/A71EV2A-x7501b_complex_ref.pdb,nipecotamide_fep_set/structures/x7501a_x7501b/A71EV2A-x7501a/A71EV2A-x7501a_ligand_ref.sdf;nipecotamide_fep_set/structures/x7501a_x7501b/A71EV2A-x7501b/A71EV2A-x7501b_ligand_ref.sdf
x7247a,x7247a,CSc1ncnc(N2CCC[C@H]2Cc2ccnn2C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.214,6109.42,1,A71EV2A-x7247a,nipecotamide_fep_set/structures/x7247a/A71EV2A-x7247a/A71EV2A-x7247a_complex_ref.pdb,nipecotamide_fep_set/structures/x7247a/A71EV2A-x7247a/A71EV2A-x7247a_ligand_ref.sdf
x7433a,x7433a,CSc1ncnc(N2CCC[C@H]2Cc2ccccc2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.1382,7274.45,1,A71EV2A-x7433a,nipecotamide_fep_set/structures/x7433a/A71EV2A-x7433a/A71EV2A-x7433a_complex_ref.pdb,nipecotamide_fep_set/structures/x7433a/A71EV2A-x7433a/A71EV2A-x7433a_ligand_ref.sdf
x7161a,x7161a,COC[C@@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.029,9354.06,1,A71EV2A-x7161a,nipecotamide_fep_set/structures/x7161a/A71EV2A-x7161a/A71EV2A-x7161a_complex_ref.pdb,nipecotamide_fep_set/structures/x7161a/A71EV2A-x7161a/A71EV2A-x7161a_ligand_ref.sdf
